finbert_pos,finbert_neg,finbert_neu,finbert_score
0.01723119,0.749979,0.23278983,-0.73274785
0.03875892,0.5180714,0.44316968,-0.47931248
0.08012595,0.18602274,0.7338513,-0.10589679
0.01746636,0.04909158,0.9334421,-0.03162522
0.042090654,0.48358876,0.47432062,-0.4414981
0.022956464,0.6525842,0.32445937,-0.6296277
0.040199634,0.19615993,0.7636404,-0.15596029
0.01157855,0.8659195,0.12250199,-0.8543409
0.024357118,0.5819479,0.3936949,-0.5575908
0.022349967,0.8086264,0.16902363,-0.78627646
0.034336597,0.20699859,0.75866485,-0.17266199
0.029357364,0.39058146,0.5800612,-0.36122409
0.027132448,0.4566372,0.51623034,-0.42950475
0.019566333,0.7367603,0.24367338,-0.71719396
0.01746636,0.04909158,0.9334421,-0.03162522
0.028546622,0.65645456,0.31499875,-0.62790793
0.0602831,0.46996135,0.46975553,-0.40967825
0.029567838,0.043698337,0.9267338,-0.014130499
0.02543647,0.47902396,0.49553952,-0.4535875
0.022997249,0.36578867,0.6112141,-0.3427914
0.0448931,0.18223186,0.7728751,-0.13733876
0.05160593,0.32047245,0.62792164,-0.2688665
0.06839474,0.09959748,0.8320078,-0.031202734
0.035117067,0.13191064,0.8329723,-0.09679357
0.03311988,0.5250092,0.44187087,-0.49188933
0.01432446,0.89788294,0.087792575,-0.88355845
0.022274604,0.6821573,0.29556808,-0.65988266
0.03459604,0.11492413,0.8504798,-0.08032809
0.030052124,0.26828963,0.70165825,-0.2382375
0.052478045,0.15317558,0.79434633,-0.10069753
0.023755277,0.23969983,0.73654485,-0.21594454
0.025023704,0.20888536,0.766091,-0.18386166
0.04238463,0.64149076,0.31612462,-0.59910613
0.037191387,0.068760626,0.894048,-0.03156924
0.0214375,0.8446708,0.13389179,-0.82323325
0.084556215,0.08294519,0.8324986,0.0016110241
0.09118394,0.051918194,0.85689783,0.039265744
0.024322899,0.48620495,0.48947215,-0.46188205
0.029226044,0.6224235,0.34835044,-0.59319746
0.01746636,0.04909158,0.9334421,-0.03162522
0.03846024,0.12738669,0.8341531,-0.08892645
0.02900969,0.37608737,0.594903,-0.34707767
0.025520993,0.41033742,0.56414163,-0.38481644
0.032534376,0.23205765,0.73540795,-0.19952327
0.03748303,0.13286026,0.8296568,-0.09537723
0.033735774,0.4771551,0.48910907,-0.4434193
0.02287553,0.55678266,0.42034176,-0.5339071
0.022970434,0.058036234,0.91899335,-0.0350658
0.032951623,0.2981736,0.66887474,-0.26522198
0.03755042,0.2696365,0.69281304,-0.23208609
0.018096851,0.11822082,0.8636823,-0.10012397
0.033199094,0.4456318,0.52116907,-0.4124327
0.0373248,0.50885785,0.45381734,-0.47153306
0.03299711,0.031519335,0.9354835,0.0014777742
0.021753665,0.518163,0.46008322,-0.49640936
0.046075977,0.17285793,0.7810661,-0.12678194
0.009898674,0.93532777,0.054773454,-0.9254291
0.037594203,0.016080594,0.9463252,0.02151361
0.026589079,0.4210635,0.55234736,-0.39447445
0.0327348,0.22544469,0.7418205,-0.1927099
0.02463804,0.54666156,0.42870042,-0.5220235
0.04897494,0.247159,0.70386606,-0.19818407
0.039770436,0.4964087,0.4638209,-0.45663828
0.04327716,0.11625816,0.8404648,-0.072981
0.018784968,0.81861264,0.16260238,-0.7998277
0.03289645,0.11700776,0.85009575,-0.08411131
0.038293604,0.30854607,0.65316033,-0.27025247
0.029434914,0.5567269,0.41383824,-0.52729195
0.052496046,0.21585783,0.7316461,-0.16336179
0.0322225,0.20319685,0.76458067,-0.17097436
0.050918803,0.1392586,0.80982256,-0.08833979
0.02418116,0.21310243,0.7627164,-0.18892127
0.039565153,0.08967124,0.87076366,-0.050106086
0.028811375,0.47076538,0.5004232,-0.44195402
0.02952885,0.3367139,0.63375723,-0.30718505
0.05109163,0.17050162,0.7784068,-0.11940999
0.031415835,0.2068066,0.7617776,-0.17539077
0.029437074,0.31990972,0.65065324,-0.29047266
